candidate_id,rank,score,reasoning
CAND_0093912,1,0.805738,"5-yr Senior Data Scientist — owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; 66% recruiter response."
CAND_0081846,2,0.779064,7-yr Lead AI Engineer — built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product; clear NLP/IR focus.
CAND_0071974,3,0.749599,"Senior AI Engineer (8 yrs) — built and shipped a production recommendation system at a marketplace product, going from offline experimentation to live A/B test in 5 months; product-company track record."
CAND_0064326,4,0.746472,"8-yr Search Engineer — owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; evidence-backed Python."
CAND_0075574,5,0.741183,"Machine Learning Engineer (6 yrs) — owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; product-company track record."
CAND_0046525,6,0.715428,Senior Machine Learning Engineer (6 yrs) — led the migration from keyword-based to embedding-based search across a 30M+ candidate corpus over 8 months; clear NLP/IR focus.
CAND_0060054,7,0.712847,6-yr AI Engineer — developed a semantic search feature for an internal knowledge base of ~500K documents; Jaipur-based.
CAND_0041669,8,0.710226,"Recommendation Systems Engineer, 8 yrs — owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; evidence-backed Semantic Search."
CAND_0066376,9,0.707975,Applied ML Engineer (6 yrs) — built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking; product-company track record.
CAND_0046064,10,0.701676,"Senior NLP Engineer, 9 yrs — built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product; Coimbatore-based."
CAND_0050454,11,0.700174,7-yr AI Engineer; developed a semantic search feature for an internal knowledge base of ~500K documents; product-company track record.
CAND_0027691,12,0.695562,NLP Engineer (6 yrs); developed a semantic search feature for an internal knowledge base of ~500K documents; Pune-based.
CAND_0010685,13,0.693299,"NLP Engineer, 7 yrs; owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; Kolkata-based."
CAND_0018499,14,0.691930,Senior Machine Learning Engineer (7 yrs); built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product; evidence-backed Weaviate.
CAND_0002025,15,0.686813,"6-yr Senior AI Engineer; built and shipped a production recommendation system at a marketplace product, going from offline experimentation to live A/B test in 5 months; 80% recruiter response."
CAND_0076163,16,0.685439,"NLP Engineer, 7 yrs; owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; product-company track record."
CAND_0011687,17,0.683631,"Senior NLP Engineer, 8 yrs; career history shows hands-on ranking/retrieval delivery; clear NLP/IR focus."
CAND_0052335,18,0.680640,"6-yr Applied ML Engineer; owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; product-company track record."
CAND_0088025,19,0.679698,"Staff Machine Learning Engineer, 9 yrs; led the migration from keyword-based to embedding-based search across a 30M+ candidate corpus over 8 months; product-company track record."
CAND_0010257,20,0.679459,6-yr Senior Data Scientist; trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM; Noida-based. Concern: notice period 120d.
CAND_0079387,21,0.674871,AI Engineer (7 yrs); built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking; 81% recruiter response.
CAND_0041610,22,0.674854,"7-yr Recommendation Systems Engineer; owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; clear NLP/IR focus."
CAND_0039383,23,0.673244,"Applied ML Engineer, 7 yrs; trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM; evidence-backed pgvector."
CAND_0070202,24,0.671560,"Machine Learning Engineer, 5 yrs; owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; evidence-backed Embeddings."
CAND_0096142,25,0.670842,Applied ML Engineer (5 yrs); trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM; clear NLP/IR focus. Concern: notice period 120d.
CAND_0036184,26,0.668796,Recommendation Systems Engineer (6 yrs); developed a semantic search feature for an internal knowledge base of ~500K documents; clear NLP/IR focus.
CAND_0078002,27,0.667189,"Machine Learning Engineer, 6 yrs; trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM; clear NLP/IR focus."
CAND_0078492,28,0.665313,"5-yr Recommendation Systems Engineer; owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; Kochi-based."
CAND_0062247,29,0.661750,7-yr AI Engineer; developed a semantic search feature for an internal knowledge base of ~500K documents; 78% recruiter response.
CAND_0086022,30,0.656614,5-yr Senior Applied Scientist; built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product; product-company track record.
CAND_0030031,31,0.656400,AI Engineer (6 yrs); built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking; clear NLP/IR focus.
CAND_0068811,32,0.653847,8-yr Applied ML Engineer; built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking; saved by 4 recruiters this month.
CAND_0018549,33,0.653768,"7-yr Recommendation Systems Engineer; owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; clear NLP/IR focus."
CAND_0014440,34,0.653253,"Recommendation Systems Engineer (6 yrs); owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; 64% recruiter response."
CAND_0018722,35,0.648936,"Recommendation Systems Engineer, 7 yrs; developed a semantic search feature for an internal knowledge base of ~500K documents; open to relocation."
CAND_0050876,36,0.647300,"Applied ML Engineer, 6 yrs; owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; evidence-backed Python."
CAND_0029367,37,0.646091,6-yr Senior Data Scientist; developed a semantic search feature for an internal knowledge base of ~500K documents; clear NLP/IR focus.
CAND_0061265,38,0.645714,"Recommendation Systems Engineer, 7 yrs; developed a semantic search feature for an internal knowledge base of ~500K documents; Delhi-based. Concern: notice period 120d."
CAND_0079064,39,0.644434,"Senior Data Scientist, 5 yrs; developed a semantic search feature for an internal knowledge base of ~500K documents; evidence-backed Pinecone. Concern: notice period 120d."
CAND_0083307,40,0.643025,"8-yr Search Engineer; owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; evidence-backed Python. Concern: notice period 120d."
CAND_0044222,41,0.642540,"AI Engineer, 8 yrs; developed a semantic search feature for an internal knowledge base of ~500K documents; 60% recruiter response."
CAND_0042100,42,0.642455,"Machine Learning Engineer (7 yrs); owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; clear NLP/IR focus."
CAND_0075249,43,0.642341,6-yr Applied ML Engineer; built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking; clear NLP/IR focus.
CAND_0077285,44,0.640894,"Recommendation Systems Engineer, 6 yrs; trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM; saved by 65 recruiters this month."
CAND_0008425,45,0.639987,Senior NLP Engineer (8 yrs); owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items; 66% recruiter response.
CAND_0070525,46,0.638856,Senior Software Engineer (ML) (5 yrs); built NLP pipelines for sentiment analysis and document classification — primarily for an internal feedback-analytics dashboard; 93% recruiter response.
CAND_0054123,47,0.637835,5-yr Applied ML Engineer; built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking; Gurgaon-based.
CAND_0006418,48,0.637122,Machine Learning Engineer (6 yrs); trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM; 92% recruiter response.
CAND_0051292,49,0.636624,"Applied ML Engineer (5 yrs); owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; saved by 9 recruiters this month."
CAND_0077337,50,0.632846,"7-yr Staff Machine Learning Engineer; built and shipped a production recommendation system at a marketplace product, going from offline experimentation to live A/B test in 5 months; clear NLP/IR focus. Concern: frequent <1.7y job changes."
CAND_0098846,51,0.628958,"AI Engineer, 8 yrs; adjacent fit — owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; Indore-based."
